year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold
2018,ACS Applied Materials & Interfaces,0.8125,0.2917,0.3116,0.7
2018,ACS Nano,0.2778,0.0,0.0,0.7
2018,AIDS,0.6333,0.3333,0.3535,0.7
2018,AIDS and Behavior,0.8947,0.6053,0.6035,0.7
2018,Academic Medicine,0.6341,0.1951,0.1953,0.7
2018,Acta Biomaterialia,0.4767,0.1163,0.1139,0.7
2018,Acta Neuropathologica,1.4783,0.8261,0.8832,0.7
2018,Acta Neuropathologica Communications,1.6944,1.2778,1.3109,0.7
2018,Acta Ophthalmologica,0.6364,0.2727,0.2516,0.7
2018,Addiction,0.8913,0.5,0.5137,0.7
2018,Addictive Behaviors,0.84,0.56,0.5526,0.7
2018,Aesthetic Surgery Journal,0.5,0.3636,0.3549,0.7
2018,Age and Ageing,0.9512,0.4634,0.4863,0.7
2018,Aging,0.8333,0.3,0.3235,0.7
2018,Aging Cell,0.6071,0.3214,0.3466,0.7
2018,Alimentary Pharmacology & Therapeutics,0.8793,0.4138,0.4245,0.7
2018,Allergy,0.6977,0.1395,0.1922,0.7
2018,Alzheimer s & Dementia,2.5,1.7879,1.8049,0.7
2018,Alzheimer s Research & Therapy,0.3548,0.0323,0.039,0.7
2018,American Heart Journal,0.4688,0.1562,0.1572,0.7
2018,American Journal Of Pathology,0.9565,0.3043,0.3043,0.7
2018,American Journal of Clinical Nutrition,0.956,0.3077,0.3285,0.7
2018,American Journal of Epidemiology,0.7297,0.1351,0.1927,0.7
2018,American Journal of Hematology,0.6341,0.122,0.1258,0.7
2018,American Journal of Kidney Diseases,0.6207,0.0,0.0234,0.7
2018,American Journal of Neuroradiology,0.619,0.1429,0.1425,0.7
2018,American Journal of Obstetrics and Gynecology,0.7926,0.2074,0.2237,0.7
2018,American Journal of Ophthalmology,1.7262,1.3571,1.3664,0.7
2018,American Journal of Physiology-Heart and Circulatory Physiology,0.7308,0.2692,0.2879,0.7
2018,American Journal of Physiology-Lung Cellular and Molecular Physiology,0.4545,0.1818,0.1635,0.7
2018,American Journal of Preventive Medicine,0.8788,0.4242,0.4887,0.7
2018,American Journal of Psychiatry,1.32,0.62,0.6504,0.7
2018,American Journal of Public Health,1.2791,1.0465,1.0727,0.7
2018,American Journal of Respiratory Cell and Molecular Biology,0.3636,0.1818,0.1638,0.7
2018,American Journal of Respiratory and Critical Care Medicine,1.0606,0.5808,0.5945,0.7
2018,American Journal of Roentgenology,0.5833,0.1875,0.2397,0.7
2018,American Journal of Transplantation,1.4717,0.8491,0.8715,0.7
2018,American Journal of Tropical Medicine and Hygiene,3.5455,3.3182,3.2759,0.7
2018,Anaesthesia,1.0741,0.4074,0.4188,0.7
2018,Analytical Chemistry,0.5,0.375,0.375,0.7
2018,Anesthesia & Analgesia,0.4706,0.0588,0.0643,0.7
2018,Anesthesiology,0.5,0.1724,0.1898,0.7
2018,Angewandte Chemie International Edition,0.913,0.3261,0.3712,0.7
2018,Annals of Clinical and Translational Neurology,1.2727,1.0,0.969,0.7
2018,Annals of Emergency Medicine,0.825,0.425,0.4566,0.7
2018,Annals of Intensive Care,0.2593,0.0,0.0,0.7
2018,Annals of Internal Medicine,1.9891,1.1957,1.2245,0.7
2018,Annals of Neurology,1.2526,0.6421,0.7169,0.7
2018,Annals of Oncology,1.1187,0.7443,0.777,0.7
