year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold
2010,AIDS,1.3571,0.7041,0.769,0.7
2010,AIDS and Behavior,0.6429,0.0,0.0,0.7
2010,Academic Emergency Medicine,0.5676,0.027,0.0666,0.7
2010,Academic Medicine,0.4815,0.0,0.0013,0.7
2010,Acta Biomaterialia,0.15,0.0,0.0,0.7
2010,Acta Neuropathologica,2.1707,1.9756,1.9619,0.7
2010,Acta Orthopaedica,0.4839,0.0323,0.049,0.7
2010,Addiction,0.7838,0.2838,0.2873,0.7
2010,Addictive Behaviors,0.1818,0.0,0.0,0.7
2010,Alcoholism Clinical and Experimental Research,0.8333,0.4444,0.4493,0.7
2010,Alimentary Pharmacology & Therapeutics,0.5778,0.1333,0.1493,0.7
2010,Allergy,0.775,0.2375,0.2541,0.7
2010,Alzheimer s & Dementia,1.0,0.3913,0.4256,0.7
2010,American Heart Journal,0.8681,0.3846,0.3868,0.7
2010,American Journal Of Pathology,1.0417,0.4271,0.4787,0.7
2010,American Journal of Clinical Nutrition,1.0625,0.4152,0.4825,0.7
2010,American Journal of Epidemiology,1.1684,0.5368,0.5992,0.7
2010,American Journal of Geriatric Psychiatry,0.56,0.08,0.0582,0.7
2010,American Journal of Hypertension,0.7419,0.129,0.17,0.7
2010,American Journal of Kidney Diseases,1.3,0.725,0.7412,0.7
2010,American Journal of Neuroradiology,0.5816,0.2551,0.2707,0.7
2010,American Journal of Obstetrics and Gynecology,0.8243,0.3446,0.3594,0.7
2010,American Journal of Ophthalmology,0.7619,0.2095,0.2405,0.7
2010,American Journal of Physiology-Endocrinology and Metabolism,0.8148,0.2407,0.2331,0.7
2010,American Journal of Physiology-Gastrointestinal and Liver Physiology,0.7931,0.3793,0.4047,0.7
2010,American Journal of Physiology-Heart and Circulatory Physiology,0.5949,0.2152,0.2395,0.7
2010,American Journal of Physiology-Lung Cellular and Molecular Physiology,0.5652,0.1304,0.1779,0.7
2010,"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",0.475,0.05,0.107,0.7
2010,American Journal of Physiology-Renal Physiology,0.3846,0.0,0.0128,0.7
2010,American Journal of Preventive Medicine,0.9057,0.3774,0.4118,0.7
2010,American Journal of Psychiatry,1.4242,0.6667,0.7286,0.7
2010,American Journal of Public Health,0.625,0.0714,0.1207,0.7
2010,American Journal of Respiratory Cell and Molecular Biology,0.2174,0.0,0.0,0.7
2010,American Journal of Respiratory and Critical Care Medicine,1.16,0.5867,0.6086,0.7
2010,American Journal of Roentgenology,0.625,0.3,0.3134,0.7
2010,American Journal of Transplantation,0.9776,0.4701,0.4771,0.7
2010,American Journal of Tropical Medicine and Hygiene,0.8889,0.4722,0.4551,0.7
2010,Anaesthesia,0.7308,0.1538,0.1708,0.7
2010,Anesthesia & Analgesia,0.6887,0.1792,0.1878,0.7
2010,Anesthesiology,0.8529,0.2059,0.2379,0.7
2010,Angewandte Chemie International Edition,0.7308,0.2692,0.3053,0.7
2010,Annals of Biomedical Engineering,0.1071,0.0,0.0,0.7
2010,Annals of Emergency Medicine,0.7,0.3,0.3129,0.7
2010,Annals of Internal Medicine,1.8103,1.1121,1.1651,0.7
2010,Annals of Neurology,1.9624,1.3534,1.3884,0.7
2010,Annals of Oncology,0.7846,0.3385,0.3604,0.7
2010,Annals of Surgery,0.8125,0.2981,0.3215,0.7
2010,Annals of Surgical Oncology,0.6579,0.2105,0.2129,0.7
2010,Annals of the Rheumatic Diseases,1.04,0.4743,0.5102,0.7
2010,Antimicrobial Agents and Chemotherapy,1.1367,0.554,0.581,0.7
2010,Appetite,0.36,0.0,0.0,0.7
2010,Applied and Environmental Microbiology,0.4722,0.0278,0.047,0.7
2010,Archives of Dermatology,0.4138,0.0345,0.0597,0.7
2010,Archives of Disease in Childhood,0.3214,0.0357,0.0357,0.7
2010,Archives of General Psychiatry,1.7531,0.8025,0.8084,0.7
2010,Archives of Internal Medicine,1.9045,1.1256,1.1564,0.7
2010,Archives of Neurology,2.0098,1.3235,1.3752,0.7
2010,Archives of Ophthalmology,0.7302,0.3651,0.3531,0.7
2010,Archives of Pediatrics and Adolescent Medicine,0.775,0.325,0.3482,0.7
2010,Archives of Physical Medicine and Rehabilitation,0.6119,0.1045,0.1195,0.7
2010,Archives of Surgery,0.5,0.0862,0.109,0.7
2010,Arteriosclerosis Thrombosis and Vascular Biology,0.7465,0.3662,0.3653,0.7
2010,Arthritis & Rheumatism,1.0124,0.4132,0.4192,0.7
2010,Arthritis Care & Research,0.7982,0.2018,0.2225,0.7
2010,Arthritis Research & Therapy,0.4237,0.1017,0.1188,0.7
2010,Arthroscopy The Journal of Arthroscopic and Related Surgery,0.5455,0.0909,0.1029,0.7
2010,Atherosclerosis,0.4328,0.1045,0.1339,0.7
2010,Autophagy,2.3594,1.75,1.8046,0.7
2010,BJOG An International Journal of Obstetrics & Gynaecology,0.7826,0.1594,0.1835,0.7
2010,BMC Cancer,0.6,0.2889,0.3067,0.7
2010,BMC Genomics,0.4138,0.0345,0.0311,0.7
2010,BMC Health Services Research,0.5,0.0455,0.0455,0.7
2010,BMC Infectious Diseases,0.6364,0.2727,0.301,0.7
2010,BMC Musculoskeletal Disorders,0.3571,0.0476,0.043,0.7
2010,BMC Pregnancy and Childbirth,0.5,0.0,0.0,0.7
2010,BMC Public Health,0.5542,0.1446,0.1304,0.7
2010,BMJ,1.1534,0.4497,0.4849,0.7
2010,Biochemical Pharmacology,0.2381,0.0952,0.0952,0.7
2010,Biochemical and Biophysical Research Communications,1.0779,0.5974,0.6119,0.7
2010,Biochemistry,0.881,0.7143,0.7089,0.7
2010,Biological Psychiatry,0.9467,0.4133,0.435,0.7
2010,Biology of Blood and Marrow Transplantation,0.8649,0.2432,0.265,0.7
2010,Biology of Reproduction,0.7179,0.1282,0.126,0.7
2010,Biomaterials,0.4732,0.0982,0.1013,0.7
2010,Biophysical Journal,0.8696,0.2609,0.2594,0.7
2010,Bipolar Disorders,1.0938,0.4375,0.5047,0.7
2010,Blood,1.2721,0.7527,0.7663,0.7
2010,Bone,0.5634,0.1408,0.1699,0.7
2010,Bone Marrow Transplantation,0.25,0.0417,0.0583,0.7
2010,Brain,1.4242,0.8848,0.9082,0.7
2010,Brain Behavior and Immunity,0.5,0.0,0.0488,0.7
2010,Brain Injury,0.5,0.25,0.2308,0.7
2010,Brain Pathology,1.6,0.8,0.811,0.7
2010,Brain Research,0.7925,0.3585,0.3544,0.7
2010,Breast Cancer Research,1.5,1.2083,1.2147,0.7
2010,Breast Cancer Research and Treatment,0.5106,0.1915,0.1887,0.7
2010,British Journal Of Nutrition,0.3333,0.0877,0.0965,0.7
2010,British Journal of Anaesthesia,0.6712,0.2466,0.2805,0.7
2010,British Journal of Cancer,0.8333,0.4667,0.4931,0.7
2010,British Journal of Clinical Pharmacology,0.4333,0.1,0.089,0.7
2010,British Journal of Dermatology,0.25,0.0294,0.0274,0.7
2010,British Journal of Haematology,0.8679,0.2075,0.2865,0.7
