year,journal,baseline_if,filtered_rif,weighted_rif
2004,New England Journal of Medicine,9.5,7.4,7.4
2004,Annals of Surgery,7.0,6.0,6.0
2004,Diabetes Care,4.5278,3.787,3.7503
2004,American Journal of Clinical Nutrition,3.4444,2.8889,2.8889
2004,Nature Genetics,0.5,0.5,0.5
2004,JAMA,7.7059,6.4706,6.3088
2004,Annual Review of Medicine,26.0,21.0,21.0
2004,BMJ,2.0,1.0,0.75
2004,Journal of Biochemical and Molecular Toxicology,8.0,6.0,6.0
2004,The Journal of Clinical Endocrinology & Metabolism,2.375,2.0,2.0
2004,Hepatology,2.6667,2.6667,2.6667
2004,Arteriosclerosis Thrombosis and Vascular Biology,6.0,4.0,4.0
2004,The American Journal of Cardiology,7.0,4.6667,4.3889
2004,Diabetes,3.475,2.825,2.8
2004,Diabetes Research and Clinical Practice,2.75,2.0,2.0
2004,Archives of Internal Medicine,6.6,5.6,5.6
2004,The Journal of the American Dental Association,8.5,6.5,6.6666
2004,Molecular Cancer,5.0,2.0,2.0
2004,Journal of Clinical Investigation,4.3333,3.3333,3.3333
2004,Circulation,9.6154,7.8462,7.6474
2004,Trends in Immunology,4.0,3.0,3.0
2004,Kidney International,17.0,13.0,13.0
2004,Pharmacotherapy The Journal of Human Pharmacology and Drug Therapy,3.0,1.0,1.0
2004,The Lancet,3.8462,3.2308,3.1154
2004,Diabetologia,6.8667,5.2667,5.2333
2004,Journal of the American Pharmaceutical Association (1996),3.5,3.0,3.0
2004,Ageing Research Reviews,3.0,2.0,2.0
2004,Diabetic Medicine,3.0,2.3333,2.2778
2004,Journal of Consulting and Clinical Psychology,20.0,14.0,13.6667
2004,Endocrine Reviews,17.5,13.0,13.0
2004,Calcified Tissue International,7.0,7.0,7.0
2004,PubMed,9.0,6.6,6.3867
2004,Journal of Gastroenterology and Hepatology,5.0,3.0,3.0
2004,The Aging Male,2.0,2.0,2.0
2004,Current Diabetes Reports,1.0,1.0,0.5
2004,Journal of Nutrition,4.0,4.0,4.0
2004,Endocrinology,1.0,1.0,1.0
2004,General Hospital Psychiatry,5.0,3.0,3.0
2004,Acta Clinica Belgica,3.0,2.0,2.0
2004,Endocrine Practice,13.0,10.0,10.0
2004,Journal of Diabetes and its Complications,12.0,10.5,10.5
2004,American Journal of Transplantation,2.5,1.5,1.25
2004,Social Science & Medicine,1.0,0.0,0.0
2004,Journal of the American Society of Nephrology,5.25,4.25,4.25
2004,Obesity Research,5.0,5.0,5.0
2004,Obstetrics and Gynecology,3.5,2.5,2.5
2004,Free Radical Research,1.0,0.0,0.0
2004,Clinical Chemistry,9.5,8.0,8.0
2004,Journal of the American College of Cardiology,4.6667,3.6667,3.6667
2004,The American Journal of Medicine,5.6667,5.3333,5.3333
