year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold
2018,ACS Applied Materials & Interfaces,0.8125,0.0,0.0275,0.7
2018,ACS Nano,0.2778,0.0,0.0,0.7
2018,AIDS,0.6333,0.2,0.1825,0.7
2018,AIDS and Behavior,0.8947,0.4211,0.4305,0.7
2018,Academic Medicine,0.6341,0.0,0.0116,0.7
2018,Acta Biomaterialia,0.4767,0.0116,0.0136,0.7
2018,Acta Neuropathologica,1.4783,0.3913,0.4549,0.7
2018,Acta Neuropathologica Communications,1.6944,1.0556,1.0906,0.7
2018,Acta Ophthalmologica,0.6364,0.2727,0.2638,0.7
2018,Addiction,0.8913,0.3696,0.4257,0.7
2018,Addictive Behaviors,0.84,0.48,0.5345,0.7
2018,Aesthetic Surgery Journal,0.5,0.2273,0.264,0.7
2018,Age and Ageing,0.9512,0.1463,0.1769,0.7
2018,Aging,0.8,0.2,0.1956,0.7
2018,Aging Cell,0.6071,0.0714,0.1021,0.7
2018,Alimentary Pharmacology & Therapeutics,0.8793,0.1897,0.2257,0.7
2018,Allergy,0.6977,0.1163,0.1555,0.7
2018,Alzheimer s & Dementia,2.5,1.4697,1.5233,0.7
2018,Alzheimer s Research & Therapy,0.3548,0.0,0.0,0.7
2018,American Heart Journal,0.4688,0.0312,0.0536,0.7
2018,American Journal Of Pathology,1.0,0.3182,0.3153,0.7
2018,American Journal of Clinical Nutrition,0.956,0.1758,0.1788,0.7
2018,American Journal of Epidemiology,0.7297,0.0,0.0042,0.7
2018,American Journal of Hematology,0.6341,0.0244,0.0362,0.7
2018,American Journal of Kidney Diseases,0.6207,0.0,0.0,0.7
2018,American Journal of Neuroradiology,0.619,0.0,0.0075,0.7
2018,American Journal of Obstetrics and Gynecology,0.7926,0.1407,0.1528,0.7
2018,American Journal of Ophthalmology,1.7262,1.1786,1.2126,0.7
2018,American Journal of Physiology-Heart and Circulatory Physiology,0.7308,0.0769,0.0754,0.7
2018,American Journal of Physiology-Lung Cellular and Molecular Physiology,0.4545,0.0909,0.0909,0.7
2018,American Journal of Preventive Medicine,0.8788,0.2727,0.3081,0.7
2018,American Journal of Psychiatry,1.32,0.32,0.3482,0.7
2018,American Journal of Public Health,1.2791,0.9302,0.9365,0.7
2018,American Journal of Respiratory Cell and Molecular Biology,0.3636,0.0,0.0,0.7
2018,American Journal of Respiratory and Critical Care Medicine,1.0606,0.2727,0.2887,0.7
2018,American Journal of Roentgenology,0.5833,0.0833,0.0947,0.7
2018,American Journal of Transplantation,1.4717,0.5283,0.6031,0.7
2018,American Journal of Tropical Medicine and Hygiene,3.5455,3.1364,3.2245,0.7
2018,Anaesthesia,1.0741,0.1852,0.2095,0.7
2018,Analytical Chemistry,0.5,0.375,0.3709,0.7
2018,Anesthesia & Analgesia,0.48,0.02,0.02,0.7
2018,Anesthesiology,0.5,0.0172,0.0586,0.7
2018,Angewandte Chemie International Edition,0.913,0.1522,0.1747,0.7
2018,Annals of Clinical and Translational Neurology,1.2727,0.7727,0.7928,0.7
2018,Annals of Emergency Medicine,0.825,0.15,0.163,0.7
2018,Annals of Intensive Care,0.2593,0.0,0.0,0.7
2018,Annals of Internal Medicine,1.9891,0.6739,0.7449,0.7
2018,Annals of Neurology,1.2526,0.4211,0.4459,0.7
2018,Annals of Oncology,1.1187,0.5708,0.6136,0.7
2018,Annals of Surgery,1.0505,0.2982,0.3383,0.7
2018,Annals of Surgical Oncology,0.6962,0.0886,0.0907,0.7
2018,Annals of the American Thoracic Society,0.6607,0.0536,0.07,0.7
2018,Annals of the Rheumatic Diseases,0.881,0.0952,0.1301,0.7
2018,Antimicrobial Agents and Chemotherapy,0.8523,0.3977,0.415,0.7
2018,Antiviral Research,1.0,0.8286,0.8174,0.7
2018,Appetite,0.4545,0.1818,0.1818,0.7
2018,Archives of Physical Medicine and Rehabilitation,0.3636,0.0,0.0,0.7
2018,Arteriosclerosis Thrombosis and Vascular Biology,0.4146,0.0488,0.0403,0.7
2018,Arthritis & Rheumatology,0.7236,0.0976,0.1242,0.7
2018,Arthritis Care & Research,0.6042,0.0,0.0146,0.7
2018,Arthritis Research & Therapy,0.3621,0.0,0.011,0.7
2018,Arthroscopy The Journal of Arthroscopic and Related Surgery,1.0,0.3721,0.3553,0.7
2018,Atherosclerosis,1.4412,0.7059,0.7585,0.7
2018,Autophagy,1.9722,1.3519,1.36,0.7
2018,BJOG An International Journal of Obstetrics & Gynaecology,0.6286,0.0286,0.0462,0.7
2018,BMC Cancer,0.5063,0.1519,0.1554,0.7
2018,BMC Complementary and Alternative Medicine,0.0769,0.0,0.0,0.7
2018,BMC Genomics,0.24,0.0,0.0,0.7
2018,BMC Geriatrics,0.4524,0.0476,0.0568,0.7
2018,BMC Health Services Research,0.4,0.12,0.1154,0.7
2018,BMC Infectious Diseases,0.2857,0.0,0.0,0.7
2018,BMC Medical Education,0.2727,0.0,0.0,0.7
2018,BMC Medicine,0.6923,0.1346,0.1567,0.7
2018,BMC Musculoskeletal Disorders,0.4324,0.0,0.0178,0.7
2018,BMC Nephrology,0.1739,0.0435,0.0435,0.7
2018,BMC Pediatrics,0.4762,0.0,0.0,0.7
2018,BMC Pregnancy and Childbirth,0.4302,0.0,0.002,0.7
2018,BMC Psychiatry,0.36,0.0,0.0,0.7
2018,BMC Public Health,0.486,0.1963,0.197,0.7
2018,BMC Pulmonary Medicine,0.35,0.0,0.0,0.7
2018,BMC Research Notes,0.3333,0.0,0.0,0.7
2018,BMJ,1.4118,0.6618,0.6858,0.7
2018,BMJ Global Health,0.875,0.2917,0.3106,0.7
2018,BMJ Open,0.6108,0.1514,0.1532,0.7
2018,BMJ Open Diabetes Research & Care,0.2857,0.0,0.0,0.7
2018,BioMed Research International,0.5417,0.0,0.0,0.7
2018,Biochemical and Biophysical Research Communications,0.5849,0.2264,0.2317,0.7
2018,Biological Psychiatry,1.0,0.52,0.5637,0.7
2018,Biology of Blood and Marrow Transplantation,0.3704,0.0,0.0,0.7
2018,Biomaterials,0.53,0.03,0.0319,0.7
2018,Biomedical Optics Express,1.0,0.6522,0.6328,0.7
2018,Biomedical Signal Processing and Control,0.7391,0.3043,0.317,0.7
2018,Biomedicine & Pharmacotherapy,0.2703,0.0135,0.0131,0.7
2018,Biosensors and Bioelectronics,0.2593,0.1111,0.1111,0.7
2018,Blood,1.2264,0.3639,0.402,0.7
2018,Blood Advances,0.2727,0.0303,0.0303,0.7
2018,Bone,0.3462,0.0,0.0232,0.7
2018,Brain,1.6346,0.7628,0.8,0.7
2018,Brain Behavior and Immunity,0.25,0.0,0.0,0.7
2018,Breast Cancer Research,0.6154,0.0385,0.1132,0.7
2018,Breast Cancer Research and Treatment,0.7174,0.1739,0.2606,0.7
2018,British Journal Of Nutrition,0.6538,0.0769,0.0587,0.7
2018,British Journal of Anaesthesia,0.4127,0.0476,0.0461,0.7
2018,British Journal of Cancer,0.4615,0.1154,0.1314,0.7
2018,British Journal of Dermatology,0.3455,0.0182,0.0414,0.7
2018,British Journal of Haematology,0.8478,0.1522,0.1929,0.7
2018,British Journal of Ophthalmology,0.8723,0.5745,0.5846,0.7
2018,British Journal of Pharmacology,1.0,0.0417,0.0417,0.7
2018,British Journal of Sports Medicine,1.6824,0.8824,0.9039,0.7
2018,British Journal of Urology,0.8,0.4286,0.4693,0.7
2018,British journal of surgery,0.8889,0.1111,0.1478,0.7
2018,Bulletin of the World Health Organization,1.619,1.2381,1.2381,0.7
2018,CA A Cancer Journal for Clinicians,23.8,20.9,21.0971,0.7
2018,CHEST Journal,1.1667,0.3889,0.4173,0.7
2018,Canadian Medical Association Journal,0.7273,0.2273,0.2182,0.7
2018,Cancer,1.1073,0.3729,0.3981,0.7
2018,Cancer Cell,1.5506,0.5169,0.5482,0.7
2018,Cancer Discovery,2.3286,1.4857,1.5268,0.7
2018,Cancer Epidemiology Biomarkers & Prevention,0.6429,0.0714,0.1012,0.7
2018,Cancer Immunology Immunotherapy,0.4091,0.0,0.0309,0.7
2018,Cancer Immunology Research,1.45,0.6167,0.6808,0.7
2018,Cancer Letters,0.6047,0.1163,0.1286,0.7
2018,Cancer Medicine,0.9583,0.4583,0.5089,0.7
2018,Cancer Research,0.6963,0.2304,0.2622,0.7
2018,Cancer Science,1.15,0.7,0.7167,0.7
2018,Carbohydrate Polymers,0.3333,0.0,0.0,0.7
2018,Cardiovascular Diabetology,0.6452,0.1935,0.1762,0.7
2018,Cardiovascular Research,0.5185,0.037,0.037,0.7
2018,Cell,3.7704,2.7333,2.779,0.7
2018,Cell Death and Differentiation,0.3478,0.0,0.0,0.7
2018,Cell Death and Disease,0.3333,0.0521,0.0519,0.7
2018,Cell Host & Microbe,5.4286,4.9,4.9126,0.7
2018,Cell Metabolism,1.3545,0.4455,0.4499,0.7
2018,Cell Reports,1.1943,0.6356,0.6606,0.7
2018,Cell stem cell,4.3467,3.6,3.6279,0.7
2018,Cellular Physiology and Biochemistry,1.9667,1.5,1.4863,0.7
2018,Cephalalgia,0.4348,0.0,0.0,0.7
2018,Chemical Science,1.0,0.5,0.5854,0.7
2018,Circulation,1.2642,0.4465,0.4808,0.7
2018,Circulation Arrhythmia and Electrophysiology,1.1364,0.6364,0.7448,0.7
2018,Circulation Cardiovascular Imaging,0.6182,0.1818,0.1851,0.7
2018,Circulation Cardiovascular Interventions,0.775,0.2,0.2224,0.7
2018,Circulation Heart Failure,0.9111,0.0444,0.1467,0.7
2018,Circulation Research,0.9706,0.2059,0.2565,0.7
2018,Clinical Cancer Research,1.2294,0.6239,0.6649,0.7
2018,Clinical Chemistry,0.8966,0.0345,0.0572,0.7
2018,Clinical Gastroenterology and Hepatology,0.7333,0.1556,0.1844,0.7
2018,Clinical Infectious Diseases,1.1731,0.4952,0.5262,0.7
2018,Clinical Journal of the American Society of Nephrology,0.614,0.1228,0.1204,0.7
2018,Clinical Microbiology and Infection,1.1538,0.1538,0.213,0.7
2018,Clinical Nutrition,0.9123,0.1228,0.1571,0.7
2018,Clinical Orthopaedics and Related Research,0.8333,0.2037,0.1933,0.7
2018,Clinical Pharmacology & Therapeutics,0.5,0.0,0.0198,0.7
2018,Cochrane Database of Systematic Reviews,0.5217,0.0,0.0,0.7
2018,Computer Methods and Programs in Biomedicine,0.7586,0.0,0.0028,0.7
2018,Computers in Biology and Medicine,0.7576,0.3333,0.3392,0.7
2018,Critical Care,0.825,0.1875,0.2251,0.7
2018,Critical Care Medicine,0.8833,0.2083,0.2501,0.7
2018,Current Biology,0.3913,0.0,0.0,0.7
2018,Development,0.6154,0.0769,0.0769,0.7
2018,Diabetes,0.9167,0.2738,0.2978,0.7
2018,Diabetes Care,1.2108,0.4,0.4539,0.7
2018,Diabetes Obesity and Metabolism,1.2581,0.7581,0.791,0.7
2018,Diabetes Research and Clinical Practice,1.55,0.45,0.4312,0.7
2018,Diabetologia,0.9643,0.369,0.4255,0.7
2018,Digestive Diseases and Sciences,0.5,0.0,0.1262,0.7
2018,Diseases of the Colon & Rectum,0.4333,0.0,0.0,0.7
2018,Drug and Alcohol Dependence,1.1282,0.6282,0.639,0.7
2018,EBioMedicine,1.1667,0.6806,0.6883,0.7
2018,EMBO Molecular Medicine,0.8857,0.1143,0.1545,0.7
2018,EP Europace,2.4211,1.9211,1.9897,0.7
2018,Emerging infectious diseases,1.8795,1.4458,1.4614,0.7
2018,Endocrinology,0.5455,0.0,0.0182,0.7
2018,Endoscopy,0.7872,0.1277,0.1647,0.7
2018,Epilepsia,0.6296,0.0926,0.1062,0.7
2018,EuroIntervention,1.875,1.0417,1.1659,0.7
2018,European Heart Journal,2.2178,1.4455,1.5087,0.7
2018,European Heart Journal - Cardiovascular Imaging,0.7143,0.2,0.2145,0.7
2018,European Journal of Applied Physiology,0.44,0.0,0.0,0.7
2018,European Journal of Cancer,1.0,0.4579,0.4977,0.7
