year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold,model
2018,ACS Applied Materials & Interfaces,0.8125,0.5833,0.5833,0.7,vgae
2018,ACS Nano,0.2778,0.25,0.25,0.7,vgae
2018,AIDS,0.6333,0.5333,0.5333,0.7,vgae
2018,AIDS and Behavior,0.8947,0.8421,0.8421,0.7,vgae
2018,Academic Medicine,0.6341,0.439,0.439,0.7,vgae
2018,Acta Biomaterialia,0.4767,0.407,0.407,0.7,vgae
2018,Acta Neuropathologica,1.4783,1.3623,1.3623,0.7,vgae
2018,Acta Neuropathologica Communications,1.6944,1.6111,1.6111,0.7,vgae
2018,Acta Ophthalmologica,0.6364,0.5455,0.5455,0.7,vgae
2018,Addiction,0.8913,0.8043,0.8043,0.7,vgae
2018,Addictive Behaviors,0.84,0.84,0.84,0.7,vgae
2018,Aesthetic Surgery Journal,0.5,0.4091,0.4091,0.7,vgae
2018,Age and Ageing,0.9512,0.8293,0.8293,0.7,vgae
2018,Aging,0.8,0.6667,0.6667,0.7,vgae
2018,Aging Cell,0.6071,0.5357,0.5357,0.7,vgae
2018,Alimentary Pharmacology & Therapeutics,0.8793,0.7241,0.7241,0.7,vgae
2018,Allergy,0.6977,0.6512,0.6512,0.7,vgae
2018,Alzheimer s & Dementia,2.5,2.3636,2.3636,0.7,vgae
2018,Alzheimer s Research & Therapy,0.3548,0.2258,0.2258,0.7,vgae
2018,American Heart Journal,0.4688,0.4375,0.4375,0.7,vgae
2018,American Journal Of Pathology,1.0,0.9091,0.9091,0.7,vgae
2018,American Journal of Clinical Nutrition,0.956,0.8132,0.8132,0.7,vgae
2018,American Journal of Epidemiology,0.7297,0.5676,0.5676,0.7,vgae
2018,American Journal of Hematology,0.6341,0.3902,0.3902,0.7,vgae
2018,American Journal of Kidney Diseases,0.6207,0.5345,0.5345,0.7,vgae
2018,American Journal of Neuroradiology,0.619,0.5,0.5,0.7,vgae
2018,American Journal of Obstetrics and Gynecology,0.7926,0.6593,0.6593,0.7,vgae
2018,American Journal of Ophthalmology,1.7262,1.619,1.619,0.7,vgae
2018,American Journal of Physiology-Heart and Circulatory Physiology,0.7308,0.6538,0.6538,0.7,vgae
2018,American Journal of Physiology-Lung Cellular and Molecular Physiology,0.4545,0.4091,0.4091,0.7,vgae
2018,American Journal of Preventive Medicine,0.8788,0.8182,0.8182,0.7,vgae
2018,American Journal of Psychiatry,1.32,1.1,1.1,0.7,vgae
2018,American Journal of Public Health,1.2791,1.186,1.186,0.7,vgae
2018,American Journal of Respiratory Cell and Molecular Biology,0.3636,0.2273,0.2273,0.7,vgae
2018,American Journal of Respiratory and Critical Care Medicine,1.0606,0.9192,0.9192,0.7,vgae
2018,American Journal of Roentgenology,0.5833,0.5417,0.5417,0.7,vgae
2018,American Journal of Transplantation,1.4717,1.3113,1.3113,0.7,vgae
2018,American Journal of Tropical Medicine and Hygiene,3.5455,3.5455,3.5455,0.7,vgae
2018,Anaesthesia,1.0741,0.8889,0.8889,0.7,vgae
2018,Analytical Chemistry,0.5,0.4167,0.4167,0.7,vgae
2018,Anesthesia & Analgesia,0.48,0.4,0.4,0.7,vgae
2018,Anesthesiology,0.5,0.3966,0.3966,0.7,vgae
2018,Angewandte Chemie International Edition,0.913,0.7609,0.7609,0.7,vgae
2018,Annals of Clinical and Translational Neurology,1.2727,1.2273,1.2273,0.7,vgae
2018,Annals of Emergency Medicine,0.825,0.775,0.775,0.7,vgae
2018,Annals of Intensive Care,0.2593,0.1852,0.1852,0.7,vgae
2018,Annals of Internal Medicine,1.9891,1.7065,1.7065,0.7,vgae
2018,Annals of Neurology,1.2526,1.0947,1.0947,0.7,vgae
2018,Annals of Oncology,1.1187,0.968,0.968,0.7,vgae
2018,Annals of Surgery,1.0505,0.9128,0.9128,0.7,vgae
2018,Annals of Surgical Oncology,0.6962,0.5443,0.5443,0.7,vgae
2018,Annals of the American Thoracic Society,0.6607,0.5536,0.5536,0.7,vgae
2018,Annals of the Rheumatic Diseases,0.881,0.756,0.756,0.7,vgae
2018,Antimicrobial Agents and Chemotherapy,0.8523,0.7614,0.7614,0.7,vgae
2018,Antiviral Research,1.0,0.9429,0.9429,0.7,vgae
2018,Appetite,0.4545,0.4091,0.4091,0.7,vgae
2018,Archives of Physical Medicine and Rehabilitation,0.3636,0.2121,0.2121,0.7,vgae
2018,Arteriosclerosis Thrombosis and Vascular Biology,0.4146,0.3659,0.3659,0.7,vgae
2018,Arthritis & Rheumatology,0.7236,0.5691,0.5691,0.7,vgae
2018,Arthritis Care & Research,0.6042,0.4583,0.4583,0.7,vgae
2018,Arthritis Research & Therapy,0.3621,0.2759,0.2759,0.7,vgae
2018,Arthroscopy The Journal of Arthroscopic and Related Surgery,1.0,0.8837,0.8837,0.7,vgae
2018,Atherosclerosis,1.4412,1.2647,1.2647,0.7,vgae
2018,Autophagy,1.9722,1.8241,1.8241,0.7,vgae
2018,BJOG An International Journal of Obstetrics & Gynaecology,0.6286,0.3429,0.3429,0.7,vgae
2018,BMC Cancer,0.5063,0.4684,0.4684,0.7,vgae
2018,BMC Complementary and Alternative Medicine,0.0769,0.0,0.0,0.7,vgae
2018,BMC Genomics,0.24,0.2,0.2,0.7,vgae
2018,BMC Geriatrics,0.4524,0.3571,0.3571,0.7,vgae
2018,BMC Health Services Research,0.4,0.28,0.28,0.7,vgae
2018,BMC Infectious Diseases,0.2857,0.2381,0.2381,0.7,vgae
2018,BMC Medical Education,0.2727,0.1364,0.1364,0.7,vgae
2018,BMC Medicine,0.6923,0.5385,0.5385,0.7,vgae
2018,BMC Musculoskeletal Disorders,0.4324,0.2973,0.2973,0.7,vgae
2018,BMC Nephrology,0.1739,0.1304,0.1304,0.7,vgae
2018,BMC Pediatrics,0.4762,0.3333,0.3333,0.7,vgae
2018,BMC Pregnancy and Childbirth,0.4302,0.3372,0.3372,0.7,vgae
2018,BMC Psychiatry,0.36,0.24,0.24,0.7,vgae
2018,BMC Public Health,0.486,0.4019,0.4019,0.7,vgae
2018,BMC Pulmonary Medicine,0.35,0.25,0.25,0.7,vgae
2018,BMC Research Notes,0.3333,0.2381,0.2381,0.7,vgae
2018,BMJ,1.4118,1.2574,1.2574,0.7,vgae
2018,BMJ Global Health,0.875,0.75,0.75,0.7,vgae
2018,BMJ Open,0.6108,0.4973,0.4973,0.7,vgae
2018,BMJ Open Diabetes Research & Care,0.2857,0.2381,0.2381,0.7,vgae
2018,BioMed Research International,0.5417,0.5,0.5,0.7,vgae
2018,Biochemical and Biophysical Research Communications,0.5849,0.5283,0.5283,0.7,vgae
2018,Biological Psychiatry,1.0,0.84,0.84,0.7,vgae
2018,Biology of Blood and Marrow Transplantation,0.3704,0.3333,0.3333,0.7,vgae
2018,Biomaterials,0.53,0.43,0.43,0.7,vgae
2018,Biomedical Optics Express,1.0,0.8261,0.8261,0.7,vgae
2018,Biomedical Signal Processing and Control,0.7391,0.7391,0.7391,0.7,vgae
2018,Biomedicine & Pharmacotherapy,0.2703,0.2432,0.2432,0.7,vgae
2018,Biosensors and Bioelectronics,0.2593,0.2593,0.2593,0.7,vgae
2018,Blood,1.2264,1.1032,1.1032,0.7,vgae
2018,Blood Advances,0.2727,0.2424,0.2424,0.7,vgae
2018,Bone,0.3462,0.2308,0.2308,0.7,vgae
2018,Brain,1.6346,1.4872,1.4872,0.7,vgae
2018,Brain Behavior and Immunity,0.25,0.1786,0.1786,0.7,vgae
