year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold,model
2018,ACS Applied Materials & Interfaces,0.8125,0.3125,0.5065,1.0,node2vec
2018,ACS Nano,0.2778,0.0556,0.2039,1.0,node2vec
2018,AIDS,0.6333,0.4333,0.5699,1.0,node2vec
2018,AIDS and Behavior,0.8947,0.6053,0.8306,1.0,node2vec
2018,Academic Medicine,0.6341,0.1463,0.382,1.0,node2vec
2018,Acta Biomaterialia,0.4767,0.1395,0.307,1.0,node2vec
2018,Acta Neuropathologica,1.4783,0.5217,1.056,1.0,node2vec
2018,Acta Neuropathologica Communications,1.6944,1.1667,1.4536,1.0,node2vec
2018,Acta Ophthalmologica,0.6364,0.1818,0.5104,1.0,node2vec
2018,Addiction,0.8913,0.4565,0.7037,1.0,node2vec
2018,Addictive Behaviors,0.84,0.52,0.6763,1.0,node2vec
2018,Aesthetic Surgery Journal,0.5,0.3636,0.4056,1.0,node2vec
2018,Age and Ageing,0.9512,0.1951,0.5955,1.0,node2vec
2018,Aging,0.8,0.3333,0.5271,1.0,node2vec
2018,Aging Cell,0.6071,0.0714,0.343,1.0,node2vec
2018,Alimentary Pharmacology & Therapeutics,0.8793,0.5345,0.6997,1.0,node2vec
2018,Allergy,0.6977,0.3023,0.5351,1.0,node2vec
2018,Alzheimer s & Dementia,2.5,0.6515,1.3369,1.0,node2vec
2018,Alzheimer s Research & Therapy,0.3548,0.0968,0.2936,1.0,node2vec
2018,American Heart Journal,0.4688,0.3125,0.4088,1.0,node2vec
2018,American Journal Of Pathology,1.0,0.4091,0.7277,1.0,node2vec
2018,American Journal of Clinical Nutrition,0.956,0.3626,0.6065,1.0,node2vec
2018,American Journal of Epidemiology,0.7297,0.1622,0.4388,1.0,node2vec
2018,American Journal of Hematology,0.6341,0.2195,0.4472,1.0,node2vec
2018,American Journal of Kidney Diseases,0.6207,0.069,0.274,1.0,node2vec
2018,American Journal of Neuroradiology,0.619,0.1667,0.4201,1.0,node2vec
2018,American Journal of Obstetrics and Gynecology,0.7926,0.3407,0.5612,1.0,node2vec
2018,American Journal of Ophthalmology,1.7262,1.1786,1.495,1.0,node2vec
2018,American Journal of Physiology-Heart and Circulatory Physiology,0.7308,0.1923,0.4563,1.0,node2vec
2018,American Journal of Physiology-Lung Cellular and Molecular Physiology,0.4545,0.2727,0.3823,1.0,node2vec
2018,American Journal of Preventive Medicine,0.8788,0.4848,0.6915,1.0,node2vec
2018,American Journal of Psychiatry,1.32,0.54,0.9462,1.0,node2vec
2018,American Journal of Public Health,1.2791,0.9535,1.126,1.0,node2vec
2018,American Journal of Respiratory Cell and Molecular Biology,0.3636,0.2273,0.2567,1.0,node2vec
2018,American Journal of Respiratory and Critical Care Medicine,1.0606,0.5202,0.764,1.0,node2vec
2018,American Journal of Roentgenology,0.5833,0.1667,0.3742,1.0,node2vec
2018,American Journal of Transplantation,1.4717,0.8019,1.1479,1.0,node2vec
2018,American Journal of Tropical Medicine and Hygiene,3.5455,3.3182,3.4582,1.0,node2vec
2018,Anaesthesia,1.0741,0.5185,0.8533,1.0,node2vec
2018,Analytical Chemistry,0.5,0.4167,0.4542,1.0,node2vec
