year,journal,baseline_if,filtered_rif,weighted_rif
2004,Lancet,3.4274,3.188,3.1793
2004,Science,4.3921,4.0447,3.9969
2004,Nature,4.804,4.4697,4.4231
2004,NEJM,4.1313,3.8045,3.753
2004,PubMed Central,3.7711,3.3947,3.3419
2005,Science,4.026,3.7195,3.6821
2005,Lancet,3.3653,3.12,3.098
2005,PubMed Central,3.7989,3.5688,3.5455
2005,Nature,4.7895,4.4812,4.4528
2005,NEJM,4.3696,3.9971,3.9565
2006,Lancet,3.9434,3.5984,3.5829
2006,Science,3.7646,3.5,3.4615
2006,PubMed Central,4.0654,3.7657,3.7353
2006,Nature,4.5861,4.2622,4.2333
2006,NEJM,4.1206,3.8588,3.8304
2007,Lancet,4.0479,3.7154,3.6956
2007,Nature,3.617,3.3218,3.2983
2007,Science,3.8189,3.5302,3.5105
2007,PubMed Central,4.5459,4.2178,4.1872
2007,NEJM,4.1128,3.8385,3.8265
2008,Lancet,3.6203,3.369,3.3475
2008,Science,3.6895,3.3842,3.3502
2008,PubMed Central,4.2944,3.9221,3.8786
2008,Nature,3.4745,3.2143,3.1733
2008,NEJM,4.2525,3.955,3.9278
2009,Lancet,3.8597,3.561,3.5472
2009,Science,4.4317,4.0929,4.0625
2009,NEJM,4.1983,3.8788,3.8472
2009,Nature,4.1167,3.748,3.7191
2009,PubMed Central,3.5,3.1632,3.1204
2010,Nature,4.1274,3.8157,3.7874
2010,NEJM,3.5226,3.2627,3.2327
2010,Lancet,4.0567,3.773,3.7419
2010,Science,4.2449,3.9697,3.9445
2010,PubMed Central,3.9243,3.6432,3.6235
