year,journal,baseline_if,filtered_rif,weighted_rif
2004,Nature,3.8663,3.7577,3.7577
2004,Science,3.6296,3.5344,3.5344
2004,NEJM,4.7556,4.6376,4.6376
2004,Lancet,4.2811,4.1331,4.1331
2004,PubMed Central,3.8486,3.7598,3.7598
2005,Lancet,4.2378,4.1289,4.1289
2005,Nature,4.2833,4.1756,4.1756
2005,Science,3.8149,3.7044,3.7044
2005,NEJM,4.2596,4.1393,4.1393
2005,PubMed Central,3.4447,3.3464,3.3464
2006,Lancet,3.9078,3.7961,3.7961
2006,PubMed Central,3.7068,3.6204,3.6204
2006,NEJM,4.9197,4.7824,4.7824
2006,Science,3.9673,3.8287,3.8287
2006,Nature,4.6899,4.5652,4.5652
2007,Lancet,3.7729,3.6696,3.6696
2007,Nature,4.5864,4.4784,4.4784
2007,PubMed Central,4.2667,4.1855,4.1855
2007,NEJM,5.0889,4.9488,4.9488
2007,Science,3.9533,3.8305,3.8305
2008,Lancet,4.2347,4.1227,4.1227
2008,Nature,3.392,3.3011,3.3011
2008,NEJM,4.273,4.173,4.173
2008,PubMed Central,3.9339,3.7989,3.7989
2008,Science,3.6855,3.5848,3.5848
2009,NEJM,3.955,3.8386,3.8386
2009,Lancet,4.4988,4.3951,4.3951
2009,Science,4.1335,4.0327,4.0327
2009,Nature,3.3147,3.1929,3.1929
2009,PubMed Central,3.9198,3.807,3.807
2010,Science,4.2913,4.1496,4.1496
2010,NEJM,3.872,3.752,3.752
2010,Nature,3.9097,3.8124,3.8124
2010,Lancet,4.1062,4.0285,4.0285
2010,PubMed Central,4.4825,4.3801,4.3801
